

"Country","ISO","Indicator","Indicator Code","Share of informal employment in total employment","% informal employment including agriculture (Total)","% informal employment including agriculture (Men)","% informal employment including agriculture (Women)","% informal employment excluding agriculture (Total)","% informal employment excluding agriculture (Men)","% informal employment excluding agriculture (Women)",
"Colombia","COL","pIEiTE","pIEiTE","60.6","60.6","61.9","58.8","55.4","54.1","56.9",
"Comoros","COM","pIEiTE","pIEiTE","89.2","89.2","86.2","93.8","78.5","74.3","86.4",
"Congo","COG","pIEiTE","pIEiTE","85.3","85.3","88.3","82.9","85.0","88.5","82.1",
"Congo"," Democratic Republic of","COD","pIEiTE","pIEiTE","97.3","97.3","96.0","98.7","93.9","92.4","96.3",
"Costa Rica","CRI","pIEiTE","pIEiTE","37.7","37.7","35.9","40.6","36.1","32.9","40.5",
"Côte d'Ivoire","CIV","pIEiTE","pIEiTE","92.8","92.8","90.7","95.9","87.7","82.4","93.8",
"Croatia","HRV","pIEiTE","pIEiTE","13.0","13.0","14.0","11.8","10.8","11.4","10.0",
"Cyprus","CYP","pIEiTE","pIEiTE","15.1","15.1","17.0","13.1","14.1","15.4","12.6",
"Czech Republic","CZE","pIEiTE","pIEiTE","9.2","9.2","11.0","7.0","9.1","10.8","6.9",
"Denmark","DNK","pIEiTE","pIEiTE","11.2","11.2","14.4","7.5","10.8","13.7","7.5",
"Dominican Republic","DOM","pIEiTE","pIEiTE","53.1","53.1","54.7","50.6","50.0","49.8","50.2",
"Ecuador","ECU","pIEiTE","pIEiTE","62.5","62.5","59.6","66.4","51.4","47.6","56.2",
"Egypt","EGY","pIEiTE","pIEiTE","63.9","63.9","64.5","61.3","53.0","55.5","41.0",
"El Salvador","SLV","pIEiTE","pIEiTE","70.2","70.2","68.2","72.9","64.2","56.6","72.1",
"Estonia","EST","pIEiTE","pIEiTE","6.9","6.9","7.6","6.1","6.3","6.7","5.9",
"Eswatini","SWZ","pIEiTE","pIEiTE","59.7","59.7","57.8","61.3","57.8","55.7","59.6",
"Ethiopia","ETH","pIEiTE","pIEiTE","85.8","85.8","82.5","89.5","67.8","51.8","79.5",
"Fiji","FJI","pIEiTE","pIEiTE","66.2","66.2","66.3","66.1","62.1","61.2","63.7",
"Finland","FIN","pIEiTE","pIEiTE","6.3","6.3","8.3","4.2","5.1","6.6","3.6",
"France","FRA","pIEiTE","pIEiTE","9.8","9.8","9.6","9.9","8.9","8.6","9.2",
"Gambia","GMB","pIEiTE","pIEiTE","77.6","77.6","75.5","81.5","75.9","74.2","79.2",
"Georgia","GEO","pIEiTE","pIEiTE","58.6","58.6","59.3","57.8","27.8","32.1","22.6",
"Germany","DEU","pIEiTE","pIEiTE","10.2","10.2","10.3","10.2","10.1","10.1","10.0",
"Ghana","GHA","pIEiTE","pIEiTE","80.6","80.6","77.8","83.0","71.6","64.1","76.9",
"Greece","GRC","pIEiTE","pIEiTE","32.8","32.8","34.4","30.4","25.5","28.2","21.6",
"Guatemala","GTM","pIEiTE","pIEiTE","79.7","79.7","79.1","80.8","72.7","67.9","78.7",
"Guyana","GUY","pIEiTE","pIEiTE","50.1","50.1","54.3","43.2","46.9","52.1","39.7",
"Honduras","HND","pIEiTE","pIEiTE","79.3","79.3","80.9","76.6","71.3","67.8","74.7",
"Hungary","HUN","pIEiTE","pIEiTE","12.2","12.2","14.5","9.6","10.5","12.7","8.1",
"Iceland","ISL","pIEiTE","pIEiTE","4.9","4.9","5.9","3.9","4.8","5.9","3.8",
"India","IND","pIEiTE","pIEiTE","88.2","88.2","87.7","90.0","78.1","78.6","75.5",
"Indonesia","IDN","pIEiTE","pIEiTE","83.5","83.5","82.7","84.8","78.0","77.0","79.4",
"Iraq","IRQ","pIEiTE","pIEiTE","66.9","66.9","69.9","49.0","66.6","69.7","48.3",
"Ireland","IRL","pIEiTE","pIEiTE","13.4","13.4","18.4","7.9","11.1","14.8","7.2",
"Italy","ITA","pIEiTE","pIEiTE","19.0","19.0","21.2","15.9","18.3","20.3","15.4",
"Jamaica","JAM","pIEiTE","pIEiTE","58.9","58.9","65.9","50.1","51.9","57.1","46.3",
"Japan","JPN","pIEiTE","pIEiTE","18.7","18.7","18.9","18.4","16.3","16.4","16.3",
"Jordan","JOR","pIEiTE","pIEiTE","54.8","54.8","58.7","28.5","51.7","55.4","27.8",
"Kazakhstan","KAZ","pIEiTE","pIEiTE","29.6","29.6","28.4","30.8","29.6","28.4","30.8",
"Korea"," Republic of","KOR","pIEiTE","pIEiTE","31.5","31.5","25.9","39.9","28.8","23.8","36.5",
"Kosovo","UNK","pIEiTE","pIEiTE","34.5","34.5","38.1","20.7","31.8","35.8","16.4",
"Kyrgyzstan","KGZ","pIEiTE","pIEiTE","66.0","66.0","73.1","55.3","55.4","63.5","43.9",
"Lao Peoples Democratic Republic","LAO","pIEiTE","pIEiTE","82.9","82.9","80.1","86.0","75.5","72.0","79.6",
"Latvia","LVA","pIEiTE","pIEiTE","13.2","13.2","15.1","11.5","11.2","12.1","10.4",
"Lesotho","LSO","pIEiTE","pIEiTE","0.0","0.0","0.0","0.0","34.9","34.1","36.1",
"Liberia","LBR","pIEiTE","pIEiTE","86.8","86.8","81.5","92.0","77.5","68.6","86.5",
"Lithuania","LTU","pIEiTE","pIEiTE","12.6","12.6","11.4","13.8","9.8","8.2","11.2",
"Luxembourg","LUX","pIEiTE","pIEiTE","1.2","1.2","0.8","1.7","1.0","0.8","1.2",
"Madagascar","MDG","pIEiTE","pIEiTE","93.6","93.6","91.9","95.2","79.8","74.5","85.0",
"Malawi","MWI","pIEiTE","pIEiTE","83.0","83.0","83.7","82.4","67.2","67.1","67.3",
"Maldives","MDV","pIEiTE","pIEiTE","51.7","51.7","51.8","51.5","47.0","44.8","50.2",
"Mali","MLI","pIEiTE","pIEiTE","92.7","92.7","90.8","95.0","86.4","82.8","90.7",
"Malta","MLT","pIEiTE","pIEiTE","8.1","8.1","9.0","6.6","7.7","8.3","6.6",
"Marshall Islands","MHL","pIEiTE","pIEiTE","33.9","33.9","29.4","43.6","28.8","22.5","41.2",
"Mauritania","MRT","pIEiTE","pIEiTE","90.7","90.7","88.6","94.7","85.0","82.0","90.8",
"Mauritius","MUS","pIEiTE","pIEiTE","52.2","52.2","53.8","49.5","52.2","53.8","49.5",
"Mongolia","MNG","pIEiTE","pIEiTE","51.3","51.3","55.8","46.3","32.5","37.0","27.8",
"Morocco","MAR","pIEiTE","pIEiTE","79.9","79.9","81.1","73.9","75.6","77.2","67.6",
"Mozambique","MOZ","pIEiTE","pIEiTE","95.5","95.5","92.5","98.3","86.1","83.4","91.5",
"Myanmar","MMR","pIEiTE","pIEiTE","81.4","81.4","78.0","86.4","78.7","78.1","79.6",
"Namibia","NAM","pIEiTE","pIEiTE","66.9","66.9","66.1","67.9","61.1","60.3","61.9",
"Nepal","NPL","pIEiTE","pIEiTE","80.3","80.3","76.9","85.9","77.3","75.0","82.1",
"Netherlands","NLD","pIEiTE","pIEiTE","9.4","9.4","9.9","8.8","9.2","9.7","8.6",
"Nicaragua","NIC","pIEiTE","pIEiTE","77.4","77.4","80.1","73.1","68.6","66.5","70.7",
"Niger","NER","pIEiTE","pIEiTE","91.3","91.3","87.4","95.9","85.1","74.7","94.2",
"Nigeria","NGA","pIEiTE","pIEiTE","92.9","92.9","90.8","95.1","89.0","83.5","93.2",
"North Macedonia","MKD","pIEiTE","pIEiTE","19.9","19.9","21.1","18.2","9.9","12.0","6.1",
"Norway","NOR","pIEiTE","pIEiTE","7.3","7.3","9.0","5.5","6.9","8.3","5.3",
"Pakistan","PAK","pIEiTE","pIEiTE","81.7","81.7","79.3","90.6","71.2","71.1","72.6",
"Panama","PAN","pIEiTE","pIEiTE","48.9","48.9","50.8","46.2","42.4","42.9","41.8",
"Paraguay","PRY","pIEiTE","pIEiTE","71.2","71.2","70.3","72.6","65.3","63.4","68.0",
"Peru","PER","pIEiTE","pIEiTE","68.9","68.9","64.0","74.3","59.0","52.4","66.1",
"Philippines","PHL","pIEiTE","pIEiTE","80.0","80.0","83.9","73.9","71.5","74.9","67.4",
"Poland","POL","pIEiTE","pIEiTE","38.0","38.0","42.2","32.7","31.6","36.8","25.0",
"Portugal","PRT","pIEiTE","pIEiTE","12.1","12.1","13.5","10.7","10.5","11.8","9.0",
"Republic of Moldova","MDA","pIEiTE","pIEiTE","28.9","28.9","31.9","25.9","13.7","18.9","8.9",
"Romania","ROU","pIEiTE","pIEiTE","28.9","28.9","29.1","28.6","11.1","12.5","9.4",
"Russian Federation","RUS","pIEiTE","pIEiTE","35.9","35.9","39.1","32.7","35.6","38.7","32.5",
"Rwanda","RWA","pIEiTE","pIEiTE","94.2","94.2","92.0","96.2","78.6","78.9","78.0",
"Samoa","WSM","pIEiTE","pIEiTE","37.4","37.4","42.5","27.1","21.4","21.9","20.7",
"Senegal","SEN","pIEiTE","pIEiTE","94.3","94.3","92.4","96.9","91.9","88.8","95.7",
"Serbia","SRB","pIEiTE","pIEiTE","19.8","19.8","19.1","20.7","14.0","15.4","12.2",
"Seychelles","SYC","pIEiTE","pIEiTE","17.3","17.3","25.9","9.0","15.1","22.5","8.5",
"Sierra Leone","SLE","pIEiTE","pIEiTE","92.5","92.5","92.9","92.1","86.0","86.4","85.7",
"Slovakia","SVK","pIEiTE","pIEiTE","16.7","16.7","20.7","12.1","16.5","20.4","12.0",
"Slovenia","SVN","pIEiTE","pIEiTE","5.0","5.0","6.3","3.5","4.1","5.0","3.0",
"South Africa","ZAF","pIEiTE","pIEiTE","35.2","35.2","33.7","37.2","35.1","33.5","37.0",
"Spain","ESP","pIEiTE","pIEiTE","27.3","27.3","26.2","28.7","26.8","25.5","28.4",
"Sri Lanka","LKA","pIEiTE","pIEiTE","59.7","59.7","57.8","61.3","57.8","55.7","59.6",
"Sudan","SDN","pIEiTE","pIEiTE","87.0","87.0","88.0","83.6","77.3","80.8","60.2",
"Sweden","SWE","pIEiTE","pIEiTE","8.2","8.2","8.4","7.9","8.3","8.6","7.9",
"Switzerland","CHE","pIEiTE","pIEiTE","10.4","10.4","11.1","9.5","10.1","10.9","9.1",
"Syrian Arab Republic","SYR","pIEiTE","pIEiTE","70.1","70.1","71.9","61.6","61.0","66.0","24.1",
"Tajikistan","TJK","pIEiTE","pIEiTE","74.7","74.7","75.9","72.8","70.5","74.9","56.8",
"Tanzania"," United Republic of","TZA","pIEiTE","pIEiTE","90.6","90.6","88.2","93.1","69.3","64.7","74.9",
"Thailand","THA","pIEiTE","pIEiTE","78.8","78.8","79.5","77.9","68.5","68.7","68.2",
"Timor-Leste","TLS","pIEiTE","pIEiTE","71.8","71.8","69.3","76.6","54.0","52.4","57.4",
"Togo","TGO","pIEiTE","pIEiTE","92.8","92.8","90.3","95.2","90.0","85.8","93.6",
"Tonga","TON","pIEiTE","pIEiTE","81.1","81.1","81.7","80.3","80.5","80.7","80.2",
"Tunisia","TUN","pIEiTE","pIEiTE","58.8","58.8","60.0","54.7","53.5","55.5","46.9",
"Turkey","TUR","pIEiTE","pIEiTE","35.0","35.0","29.8","46.5","22.7","21.4","26.1",
"Uganda","UGA","pIEiTE","pIEiTE","93.7","93.7","92.0","95.6","83.4","81.5","86.3",
"Ukraine","UKR","pIEiTE","pIEiTE","25.1","25.1","28.0","22.0","17.6","21.6","13.5",
"United Kingdom","GBR","pIEiTE","pIEiTE","13.6","13.6","16.1","10.9","13.4","15.8","10.8",
"United States","USA","pIEiTE","pIEiTE","18.6","18.6","19.3","17.8","18.3","18.8","17.7",
"Uruguay","URY","pIEiTE","pIEiTE","23.9","23.9","25.1","22.6","23.5","24.4","22.4",
"Venezuela","VEN","pIEiTE","pIEiTE","39.7","39.7","39.5","40.0","38.3","37.2","39.6",
"Viet Nam","VNM","pIEiTE","pIEiTE","73.3","73.3","75.1","71.4","56.1","60.1","51.5",
"West Bank and Gaza Strip","PSE","pIEiTE","pIEiTE","54.7","54.7","55.4","50.1","52.0","53.0","46.0",
"Yemen","YEM","pIEiTE","pIEiTE","77.8","77.8","77.5","82.8","69.0","69.2","64.5",
"Zambia","ZMB","pIEiTE","pIEiTE","70.6","70.6","65.0","79.1","65.4","59.2","74.8",
"Zimbabwe","ZWE","pIEiTE","pIEiTE","86.3","86.3","80.5","92.0","64.4","57.0","74.9",
