"Country Name","Country Code","Indicator Name","Indicator Code","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Iran, Islamic Republic of","IRN","GDP growth","GDPG","12.59","4.25","-1.58","-0.35","2.65","7.1","3.38","2.74","1.93","5.14","3.67","8.16","8.06","6.07","4.66","6.21","6.37","0.58","3.95","5.9","2.65","-5.63","-1.67","1.5","2.35","2.31","2.33","2.34","2.35",
"Ireland","IRL","GDP growth","GDPG","1.64","3.58","2.31","5.89","9.59","9.7","11.27","8.93","10.97","10.65","4.99","5.42","3.73","4.2","6.08","5.5","4.97","-2.16","-6.38","-1.06","2.17","0.16","-0.34","1.7","2.47","2.52","2.51","2.52","2.51",
"Israel","ISR","GDP growth","GDPG","4.62","7.16","3.77","7.01","9.65","5.43","3.18","4.25","3.29","8.66","-0.18","-0.07","1.48","4.9","4.92","5.8","6.92","4.45","1.25","5.66","4.57","3.35","3.33","3.23","3.42","3.37","3.49","3.42","3.47",
"Italy","ITA","GDP growth","GDPG","1.44","0.83","-0.85","2.15","2.89","1.14","1.87","1.45","1.45","3.65","1.86","0.45","-0.05","1.73","0.93","2.2","1.68","-1.16","-5.49","1.72","0.45","-2.37","-1.85","0.63","1.15","1.25","1.15","0.95","0.95",
"Jamaica","JAM","GDP growth","GDPG","0.83","2.78","2.21","1.88","2.52","-0.24","-1.64","-1.21","0.98","0.78","1.28","0.68","3.67","1.32","0.89","2.87","1.43","-0.81","-3.39","-1.45","1.41","-0.48","0.5","1.27","1.7","2.1","2.42","2.65","2.7",
"Japan","JPN","GDP growth","GDPG","3.32","0.82","0.17","0.86","1.94","2.61","1.6","-2","-0.2","2.26","0.35","0.29","1.69","2.36","1.3","1.69","2.19","-1.04","-5.53","4.65","-0.45","1.45","1.54","1.35","0.96","0.67","0.99","1.01","1.13",
"Jordan","JOR","GDP growth","GDPG","1.62","14.35","4.49","4.98","6.19","2.08","3.32","3.01","3.38","4.25","5.27","5.79","4.18","8.56","8.14","8.09","8.18","7.23","5.48","2.31","2.59","2.65","3.25","3.5","4","4.5","4.5","4.5","4.5",
"Kazakhstan","KAZ","GDP growth","GDPG","-11","-5.3","-9.2","-12.58","-8.2","0.5","1.7","-1.9","2.7","9.8","13.5","9.8","9.3","9.6","9.7","10.7","8.9","3.3","1.2","7.3","7.5","5","5.95","5.67","6.14","5.67","5.51","5.43","5.39",
"Kenya","KEN","GDP growth","GDPG","1.34","-1.08","-0.1","2.53","4.29","4.01","0.22","3.33","2.41","0.6","4.46","0.55","2.93","5.09","5.93","6.33","6.99","1.53","2.73","5.8","4.38","4.56","5.56","6.26","6.32","6.38","6.43","6.5","6.55",
"Korea, Republic of","KOR","GDP growth","GDPG","9.71","5.76","6.33","8.77","8.93","7.19","5.77","-5.71","10.73","8.8","3.97","7.15","2.8","4.62","3.96","5.18","5.11","2.3","0.32","6.32","3.68","2.04","2.77","3.71","3.8","3.78","3.82","3.75","3.76",
"Kuwait","KWT","GDP growth","GDPG","-41.01","50.69","33.76","8.63","1.38","0.6","2.48","3.66","-1.78","4.69","0.21","3.01","17.34","10.76","10.08","7.52","5.99","2.48","-7.08","-2.37","6.3","6.2","0.82","2.56","2.96","3.01","3.85","3.87","3.89",
"Kyrgyzstan","KGZ","GDP growth","GDPG","-9.86","-21.3","-13.01","-19.81","-5.75","7.08","9.9","2.1","3.7","5.4","5.3","-0.02","7","7.03","-0.16","3.1","8.54","7.57","2.9","-0.47","5.96","-0.9","10.53","4.42","4.94","4.97","5.09","5.16","5.24",
"Latvia","LVA","GDP growth","GDPG","-12.6","-32.1","-11.4","2.2","-2.08","3.98","9.63","5.62","2.9","5.69","7.35","7.13","7.66","8.83","10.1","10.99","9.99","-2.77","-17.7","-1.31","5.31","5.22","4.11","3.77","4.38","4.2","4.12","3.99","3.98",
